# class-to-slot map for migrating off @zeroship/ui class names.
#
# Generated from 3713c8ffe, the last commit where components emitted BOTH the
# zs-* classes and their data-slot attributes. It cannot be regenerated: the
# classes were deleted in 574330b6b, and the pairing was only derivable while
# both forms sat on the same element. Recovering it needs a git worktree at
# that commit, which is why it is committed here instead.
#
# Names drifted, so a slot cannot be derived from a class: zs-pricing is
# pricing-table, zs-data-table__th is data-table-column-header. One class may
# map to several slots (zs-section-eyebrow covers six sections), which is why
# some selectors need :is(...).
#
# Columns: class<TAB>slot
`zs-popover__close ${callerClassName}`	popover-close
zs-accordion	accordion
zs-accordion--horizontal	accordion
zs-accordion--vertical	accordion
zs-accordion-header	accordion-header
zs-accordion-header--horizontal	accordion-header
zs-accordion-header--vertical	accordion-header
zs-accordion-item	accordion-item
zs-accordion-item--horizontal	accordion-item
zs-accordion-item--vertical	accordion-item
zs-accordion-panel	accordion-panel
zs-accordion-panel--horizontal	accordion-panel
zs-accordion-panel--vertical	accordion-panel
zs-accordion-panel-inner	accordion-panel-inner
zs-accordion-trigger	accordion-trigger
zs-accordion-trigger--horizontal	accordion-trigger
zs-accordion-trigger--vertical	accordion-trigger
zs-accordion-trigger-chevron	accordion-trigger-chevron
zs-accordion-trigger-label	accordion-trigger-label
zs-alertdialog-backdrop	alertdialog-backdrop
zs-alertdialog-popup	alertdialog-popup
zs-alertdialog-trigger	alertdialog-trigger
zs-alertdialog__body	alertdialog-body
zs-alertdialog__footer	alertdialog-footer
zs-alertdialog__header	alertdialog-header
zs-app-shell	app-shell
zs-app-shell__body	app-shell-body
zs-app-shell__footer	app-shell-footer
zs-app-shell__header	app-shell-header
zs-app-shell__main	app-shell-main
zs-app-shell__sidebar	app-shell-sidebar
zs-auth-form	auth-form
zs-auth-form-center	auth-form-center
zs-auth-form__description	auth-form-description
zs-auth-form__error	auth-form-error
zs-auth-form__fieldset	auth-form-fields
zs-auth-form__footer	auth-form-footer
zs-auth-form__footer-default	auth-form-footer-default
zs-auth-form__footer-prompt	auth-form-footer-prompt
zs-auth-form__form	auth-form-form
zs-auth-form__or	auth-form-or
zs-auth-form__or-label	auth-form-or-label
zs-auth-form__or-line	auth-form-or-line
zs-auth-form__secondary	auth-form-secondary
zs-auth-form__social-actions	auth-form-social-actions
zs-auth-form__submit	auth-form-submit
zs-auth-form__title	auth-form-title
zs-autocomplete-input-group	autocomplete-input-group
zs-autocomplete-item	autocomplete-item
zs-autocomplete-item__text	autocomplete-item-text
zs-autocomplete-popup	autocomplete-popup
zs-avatar	avatar
zs-avatar--circle	avatar
zs-avatar--lg	avatar
zs-avatar--md	avatar
zs-avatar--rounded	avatar
zs-avatar--sm	avatar
zs-avatar--square	avatar
zs-avatar--xl	avatar
zs-avatar--xs	avatar
zs-avatar__fallback	avatar-fallback
zs-avatar__image	avatar-image
zs-badge	badge
zs-badge--danger	badge
zs-badge--info	badge
zs-badge--md	badge
zs-badge--neutral	badge
zs-badge--outline	badge
zs-badge--sm	badge
zs-badge--soft	badge
zs-badge--solid	badge
zs-badge--success	badge
zs-badge--warning	badge
zs-badge__label	badge-label
zs-banner	banner
zs-banner--danger	banner
zs-banner--info	banner
zs-banner--success	banner
zs-banner--warning	banner
zs-banner__actions	banner-actions
zs-banner__description	banner-description
zs-banner__dismiss	banner-dismiss
zs-banner__icon	banner-icon
zs-banner__row	banner-row
zs-banner__text	banner-text
zs-banner__title	banner-title
zs-breadcrumbs	breadcrumbs
zs-breadcrumbs__ellipsis	breadcrumbs-ellipsis
zs-breadcrumbs__ellipsis-glyph	breadcrumbs-ellipsis-glyph
zs-breadcrumbs__item	breadcrumbs-item
zs-breadcrumbs__item--ellipsis	breadcrumbs-item
zs-breadcrumbs__link	breadcrumbs-link
zs-breadcrumbs__list	breadcrumbs-list
zs-breadcrumbs__page	breadcrumbs-page
zs-breadcrumbs__separator	breadcrumbs-separator
zs-breadcrumbs__text	breadcrumbs-text
zs-button	button
zs-button--destructive	button
zs-button--filled	button
zs-button--gray	button
zs-button--large	button
zs-button--medium	button
zs-button--plain	button
zs-button--small	button
zs-button--tinted	button
zs-button__end	button-end
zs-button__inner	button-inner
zs-button__label	button-label
zs-button__spinner	button-spinner
zs-button__start	button-start
zs-card	card
zs-card--elevated	card
zs-card--ghost	card
zs-card--lg	card
zs-card--outline	card
zs-card--sm	card
zs-card--surface	card
zs-card__action	card-action
zs-card__content	card-content
zs-card__description	card-description
zs-card__footer	card-footer
zs-card__header	card-header
zs-card__media	card-media
zs-card__title	card-title
zs-center	center
zs-center--inline	center
zs-checkbox	checkbox
zs-checkbox--default	checkbox
zs-checkbox--lg	checkbox
zs-checkbox--md	checkbox
zs-checkbox--sm	checkbox
zs-checkbox--tinted	checkbox
zs-checkbox-field	checkbox-field
zs-checkbox-field	radio-field
zs-checkbox-field	switch-field
zs-checkbox-field--lg	checkbox-field
zs-checkbox-field--lg	radio-field
zs-checkbox-field--lg	switch-field
zs-checkbox-field--md	checkbox-field
zs-checkbox-field--md	radio-field
zs-checkbox-field--md	switch-field
zs-checkbox-field--sm	checkbox-field
zs-checkbox-field--sm	radio-field
zs-checkbox-field--sm	switch-field
zs-checkbox-field__text	checkbox-field-text
zs-checkbox-group	checkbox-group
zs-checkbox-group--horizontal	checkbox-group
zs-checkbox-group--vertical	checkbox-group
zs-checkbox__indicator	checkbox-indicator
zs-cluster	cluster
zs-collapsible	collapsible
zs-collapsible-panel	collapsible-panel
zs-collapsible-panel-inner	collapsible-panel-inner
zs-collapsible-trigger	collapsible-trigger
zs-collapsible-trigger-chevron	collapsible-trigger-chevron
zs-collapsible-trigger-label	collapsible-trigger-label
zs-combobox-chip	combobox-chip
zs-combobox-chip__label	combobox-chip-label
zs-combobox-chip__remove	combobox-chip-remove
zs-combobox-chips	combobox-chips
zs-combobox-empty	combobox-empty
zs-combobox-input	combobox-input
zs-combobox-input-group	autocomplete-input-group
zs-combobox-input-group	combobox-input-group
zs-combobox-input-group--default	autocomplete-input-group
zs-combobox-input-group--default	combobox-input-group
zs-combobox-input-group--lg	autocomplete-input-group
zs-combobox-input-group--lg	combobox-input-group
zs-combobox-input-group--md	autocomplete-input-group
zs-combobox-input-group--md	combobox-input-group
zs-combobox-input-group--outline	autocomplete-input-group
zs-combobox-input-group--outline	combobox-input-group
zs-combobox-input-group--sm	autocomplete-input-group
zs-combobox-input-group--sm	combobox-input-group
zs-combobox-input-group__icon	combobox-input-group-icon
zs-combobox-item	autocomplete-item
zs-combobox-item	combobox-item
zs-combobox-item__indicator	combobox-item-indicator
zs-combobox-item__text	combobox-item-text
zs-combobox-list	combobox-list
zs-combobox-popup	autocomplete-popup
zs-combobox-popup	combobox-popup
zs-combobox-popup--lg	autocomplete-popup
zs-combobox-popup--lg	combobox-popup
zs-combobox-popup--md	autocomplete-popup
zs-combobox-popup--md	combobox-popup
zs-combobox-popup--sm	autocomplete-popup
zs-combobox-popup--sm	combobox-popup
zs-combobox-positioner	combobox-positioner
zs-container	container
zs-contextmenu-trigger	contextmenu-trigger
zs-cta	cta
zs-cta__actions	cta-actions
zs-cta__description	cta-description
zs-cta__eyebrow	cta-eyebrow
zs-cta__panel	cta-panel
zs-cta__title	cta-title
zs-data-table	data-table-table
zs-data-table--comfortable	data-table-table
zs-data-table--compact	data-table-table
zs-data-table--sticky	data-table-table
zs-data-table-shell	data-table
zs-data-table__bool	data-table-bool
zs-data-table__bool-glyph	data-table-bool-glyph
zs-data-table__bool-label	data-table-bool-label
zs-data-table__caption	data-table-caption
zs-data-table__filter-cell	data-table-filter-cell
zs-data-table__filter-input	data-table-filter-input
zs-data-table__filter-row	data-table-filter-row
zs-data-table__footer	data-table-footer
zs-data-table__header-label	data-table-header-label
zs-data-table__link	data-table-link
zs-data-table__row-action--danger	data-table-row-action-danger
zs-data-table__row-actions-trigger	data-table-row-actions-trigger
zs-data-table__scroll	data-table-scroll
zs-data-table__search	data-table-search
zs-data-table__select-cell	data-table-select-cell
zs-data-table__select-cell	data-table-select-header
zs-data-table__select-col	data-table-select-col
zs-data-table__sort-button	data-table-sort-button
zs-data-table__sort-glyph	data-table-sort-glyph
zs-data-table__sort-glyph-icon	data-table-sort-glyph-icon
zs-data-table__state-cell	data-table-state-cell
zs-data-table__td	data-table-cell
zs-data-table__td	data-table-td
zs-data-table__td--actions	data-table-cell
zs-data-table__td--truncate	data-table-cell
zs-data-table__th	data-table-column-header
zs-data-table__th--actions	data-table-column-header
zs-data-table__title	data-table-title
zs-data-table__toolbar	data-table-toolbar
zs-data-table__toolbar-end	data-table-toolbar-end
zs-data-table__toolbar-start	data-table-toolbar-start
zs-data-table__truncate	data-table-truncate
zs-description-list	description-list
zs-description-list--divided	description-list
zs-description-list--horizontal	description-list
zs-description-list--vertical	description-list
zs-description-list__detail	description-list-detail
zs-description-list__item	description-list-item
zs-description-list__term	description-list-term
zs-dialog-backdrop	alertdialog-backdrop
zs-dialog-backdrop	dialog-backdrop
zs-dialog-popup	alertdialog-popup
zs-dialog-popup	dialog-popup
zs-dialog-viewport	dialog-viewport
zs-dialog__body	alertdialog-body
zs-dialog__body	dialog-body
zs-dialog__description	dialog-description
zs-dialog__footer	alertdialog-footer
zs-dialog__footer	dialog-footer
zs-dialog__header	alertdialog-header
zs-dialog__header	dialog-header
zs-dialog__header-close	dialog-header-close
zs-dialog__header-content	dialog-header-content
zs-dialog__title	dialog-title
zs-drawer-backdrop	drawer-backdrop
zs-drawer-content	drawer-content
zs-drawer__body	drawer-body
zs-drawer__description	drawer-description
zs-drawer__footer	drawer-footer
zs-drawer__header	drawer-header
zs-drawer__header-close	drawer-header-close
zs-drawer__header-content	drawer-header-content
zs-drawer__title	drawer-title
zs-empty-state	empty-state
zs-empty-state__actions	empty-state-actions
zs-empty-state__column	empty-state-column
zs-empty-state__description	empty-state-description
zs-empty-state__icon	empty-state-icon
zs-empty-state__title	empty-state-title
zs-error-state	error-state
zs-error-state--danger	error-state
zs-error-state--warning	error-state
zs-error-state__actions	error-state-actions
zs-error-state__column	error-state-column
zs-error-state__description	error-state-description
zs-error-state__icon	error-state-icon
zs-error-state__title	error-state-title
zs-faq	faq
zs-faq__description	faq-description
zs-faq__eyebrow	faq-eyebrow
zs-faq__header	faq-header
zs-faq__list	faq-list
zs-faq__title	faq-title
zs-feature-grid	feature-grid
zs-feature-grid__description	feature-grid-description
zs-feature-grid__eyebrow	feature-grid-eyebrow
zs-feature-grid__header	feature-grid-header
zs-feature-grid__item	feature-grid-item
zs-feature-grid__item-description	feature-grid-item-description
zs-feature-grid__item-icon	feature-grid-item-icon
zs-feature-grid__item-title	feature-grid-item-title
zs-feature-grid__items	feature-grid-items
zs-feature-grid__title	feature-grid-title
zs-field	field
zs-field--horizontal	field
zs-field--lg	field
zs-field--md	field
zs-field--sm	field
zs-field--vertical	field
zs-field__control	field-control
zs-field__description	field-description
zs-field__error	field-error
zs-field__item	field-item
zs-field__label	field-label
zs-field__required	field-required
zs-field__required	field-required-fallback
zs-field__required--fallback	field-required-fallback
zs-fieldset	fieldset
zs-fieldset--lg	fieldset
zs-fieldset--sm	fieldset
zs-fieldset__legend	fieldset-legend
zs-filter-bar	filter-bar
zs-filter-bar__spacer	filter-bar-spacer
zs-footer	footer
zs-footer__actions	footer-actions
zs-footer__bottom	footer-bottom
zs-footer__bottom-end	footer-bottom-end
zs-footer__bottom-start	footer-bottom-start
zs-footer__brand	footer-brand
zs-footer__brand-block	footer-brand-block
zs-footer__column	footer-column
zs-footer__column-title	footer-column-title
zs-footer__columns	footer-columns
zs-footer__copyright	footer-copyright
zs-footer__description	footer-description
zs-footer__footnotes	footer-footnotes
zs-footer__legal-link	footer-legal-link
zs-footer__legal-link-item	footer-legal-link-item
zs-footer__legal-links	footer-legal-links
zs-footer__link	footer-link
zs-footer__link-item	footer-link-item
zs-footer__links	footer-links
zs-footer__locale	footer-locale
zs-footer__separator	footer-footnotes-separator
zs-footer__separator	footer-separator
zs-footer__top	footer-top
zs-form	form-card
zs-form--card	form-card
zs-form-section	form-section
zs-form-section--aside	form-section
zs-form-section--stacked	form-section
zs-form-section__actions	form-section-actions
zs-form-section__body	form-section-body
zs-form-section__description	form-section-description
zs-form-section__footer	form-section-footer
zs-form-section__footer-divider	form-section-footer-divider
zs-form-section__header	form-section-header
zs-form-section__title	form-section-title
zs-grid	grid
zs-grid--explicit	grid
zs-grid--intrinsic	grid
zs-hero	hero
zs-hero__actions	hero-actions
zs-hero__body	hero-body
zs-hero__description	hero-description
zs-hero__eyebrow	hero-eyebrow
zs-hero__media	hero-media
zs-hero__media-column	hero-media-column
zs-hero__text	hero-text
zs-hero__title	hero-title
zs-icon	icon
zs-icon--lg	icon
zs-icon--md	icon
zs-icon--sm	icon
zs-input	input
zs-input--filled	input
zs-input--lg	input
zs-input--md	input
zs-input--outline	input
zs-input--plain	input
zs-input--sm	input
zs-input__control	input-control
zs-input__slot	input-slot-end
zs-input__slot	input-slot-start
zs-input__slot--end	input-slot-end
zs-input__slot--start	input-slot-start
zs-list-view	list-view
zs-list-view__aside	list-view-aside
zs-list-view__content	list-view-content
zs-list-view__description	list-view-description
zs-list-view__item	list-view-item
zs-list-view__leading	list-view-leading
zs-list-view__main	list-view-main
zs-list-view__meta	list-view-meta
zs-list-view__title	list-view-title
zs-list-view__trailing	list-view-trailing
zs-menu-arrow	menu-arrow
zs-menu-backdrop	menu-backdrop
zs-menu-checkbox-item	menu-checkbox-item
zs-menu-group	menu-group
zs-menu-group-label	menu-group-label
zs-menu-item	menu-checkbox-item
zs-menu-item	menu-item
zs-menu-item	menu-link-item
zs-menu-item	menu-radio-item
zs-menu-item	menu-submenu-trigger
zs-menu-item__indicator	menu-item-indicator
zs-menu-item__indicator-glyph	menu-item-indicator-glyph
zs-menu-item__shortcut	menu-item-shortcut
zs-menu-item__text	menu-item-text
zs-menu-link-item	menu-link-item
zs-menu-popup	menu-popup
zs-menu-popup	menu-popup-submenu
zs-menu-popup--submenu	menu-popup-submenu
zs-menu-positioner	menu-positioner
zs-menu-radio-group	menu-radio-group
zs-menu-radio-item	menu-radio-item
zs-menu-separator	menu-separator
zs-menu-submenu-trigger	menu-submenu-trigger
zs-menu-submenu-trigger__chevron	menu-submenu-trigger-chevron
zs-menubar	menubar
zs-menubar--horizontal	menubar
zs-menubar--vertical	menubar
zs-meter	meter
zs-meter--danger	meter
zs-meter--lg	meter
zs-meter--md	meter
zs-meter--neutral	meter
zs-meter--sm	meter
zs-meter--success	meter
zs-meter--warning	meter
zs-meter__header	meter-header
zs-meter__indicator	meter-indicator
zs-meter__label	meter-label
zs-meter__track	meter-track
zs-meter__value	meter-value
zs-navmenu	navmenu
zs-navmenu--horizontal	navmenu
zs-navmenu--vertical	navmenu
zs-navmenu-arrow	navmenu-arrow
zs-navmenu-content	navmenu-content
zs-navmenu-icon	navmenu-icon
zs-navmenu-item	navmenu-item
zs-navmenu-link	navmenu-link
zs-navmenu-list	navmenu-list
zs-navmenu-popup	navmenu-popup
zs-navmenu-positioner	navmenu-positioner
zs-navmenu-trigger	navmenu-trigger
zs-navmenu-viewport	navmenu-viewport
zs-number-field	number-field
zs-number-field--default	number-field
zs-number-field--lg	number-field
zs-number-field--md	number-field
